03:39:48.337 [main] INFO  hotels_API_Tests.AsyncSearchHotel_POST_API_Test - Host informationhttps://www.almosafer.com/api/
03:39:48.341 [main] INFO  hotels_API_Tests.AsyncSearchHotel_POST_API_Test - Provide same CheckIn & CheckOut dates & verify the response (POST Request)
03:39:51.883 [main] INFO  hotels_API_Tests.AsyncSearchHotel_POST_API_Test - io.restassured.internal.RestAssuredResponseImpl@50cf5a23
03:39:52.626 [main] INFO  hotels_API_Tests.AsyncSearchHotel_POST_API_Test - Host informationhttps://www.almosafer.com/api/
03:39:52.626 [main] INFO  hotels_API_Tests.AsyncSearchHotel_POST_API_Test - Provide invalid Auth Token header value & verify the response (POST Request)
03:39:53.855 [main] INFO  hotels_API_Tests.AsyncSearchHotel_POST_API_Test - io.restassured.internal.RestAssuredResponseImpl@1e63d216
03:39:53.879 [main] INFO  hotels_API_Tests.AsyncSearchHotel_POST_API_Test - Host informationhttps://www.almosafer.com/api/
03:39:53.879 [main] INFO  hotels_API_Tests.AsyncSearchHotel_POST_API_Test - Provide invalid endpoint & verify the response (POST Request)
03:39:54.668 [main] INFO  hotels_API_Tests.AsyncSearchHotel_POST_API_Test - io.restassured.internal.RestAssuredResponseImpl@659a2455
03:39:54.715 [main] INFO  hotels_API_Tests.AsyncSearchHotel_POST_API_Test - Host informationhttps://www.almosafer.com/api/
03:39:54.715 [main] INFO  hotels_API_Tests.AsyncSearchHotel_POST_API_Test - Provide invalid PlaceID & verify the response (POST Request)
03:39:55.866 [main] INFO  hotels_API_Tests.AsyncSearchHotel_POST_API_Test - io.restassured.internal.RestAssuredResponseImpl@70abf9b0
03:39:55.903 [main] INFO  hotels_API_Tests.AsyncSearchHotel_POST_API_Test - Host informationhttps://www.almosafer.com/api/
03:39:55.904 [main] INFO  hotels_API_Tests.AsyncSearchHotel_POST_API_Test - Provide less than the min(1) number of allowed Adults & verify the response (POST Request)
03:39:56.756 [main] INFO  hotels_API_Tests.AsyncSearchHotel_POST_API_Test - io.restassured.internal.RestAssuredResponseImpl@7ec58feb
03:39:56.805 [main] INFO  hotels_API_Tests.AsyncSearchHotel_POST_API_Test - Host informationhttps://www.almosafer.com/api/
03:39:56.805 [main] INFO  hotels_API_Tests.AsyncSearchHotel_POST_API_Test - Provide more than max(30) days gap between CheckIn & CheckOut dates & verify the response (POST Request)
03:39:57.714 [main] INFO  hotels_API_Tests.AsyncSearchHotel_POST_API_Test - io.restassured.internal.RestAssuredResponseImpl@746b18fd
03:39:57.774 [main] INFO  hotels_API_Tests.AsyncSearchHotel_POST_API_Test - Host informationhttps://www.almosafer.com/api/
03:39:57.774 [main] INFO  hotels_API_Tests.AsyncSearchHotel_POST_API_Test - Provide more than the max(8) number of allowed Adults & verify the response (POST Request)
03:39:58.778 [main] INFO  hotels_API_Tests.AsyncSearchHotel_POST_API_Test - io.restassured.internal.RestAssuredResponseImpl@5bca7664
03:39:58.843 [main] INFO  hotels_API_Tests.AsyncSearchHotel_POST_API_Test - Host informationhttps://www.almosafer.com/api/
03:39:58.843 [main] INFO  hotels_API_Tests.AsyncSearchHotel_POST_API_Test - Don't provide Adults field & verify the response (POST Request)
03:39:59.550 [main] INFO  hotels_API_Tests.AsyncSearchHotel_POST_API_Test - io.restassured.internal.RestAssuredResponseImpl@47ec7422
03:39:59.599 [main] INFO  hotels_API_Tests.AsyncSearchHotel_POST_API_Test - Host informationhttps://www.almosafer.com/api/
03:39:59.599 [main] INFO  hotels_API_Tests.AsyncSearchHotel_POST_API_Test - Don't provide Auth Token header & verify the response (POST Request)
03:40:00.692 [main] INFO  hotels_API_Tests.AsyncSearchHotel_POST_API_Test - io.restassured.internal.RestAssuredResponseImpl@34e20e6b
